col_1,col_2,col_3,col_4
[1:0702:006],,,
,e201,주인공,"(밝게) 안녕, 유진 씨! 여기서 뭐하고 있어?"
,,김유진,"(조용히) 어, 안녕. 오늘은 카페에서 작사 작업 좀 하려고 했어. 주인공 씨도 커피 한 잔 할래?"
,,주인공,(호기심 가득) 좋아! 나도 커피 한 잔 마시면서 같이 이야기하고 싶어. 어떤 주제로 작사 중이야?
,,김유진,(생각하며) 요즘 느끼는 감정들을 가사로 표현해보고 있어. 좀 더 솔직하게 써보려고 노력 중이야.
,,주인공,(긍정적으로) 멋지다! 유진 씨가 쓰는 가사는 항상 감동적이야. 어려운 점은 없었어?
,,김유진,(미소 지으며) 고마워. 가끔 어떻게 표현해야 할지 막막할 때가 있어. 주인공 씨의 의견도 들어보고 싶어.
,,주인공,(따뜻하게) 물론이지! 내가 느끼는 감정을 이야기해볼게. 그걸 가사에 녹여보는 건 어때?
,,김유진,(살짝 웃으며) 좋은 생각이야. 주인공 씨의 이야기를 들어보고 싶어.
,,,"(주인공이 김유진에게 자신의 감정을 이야기하고, 김유진은 그 이야기를 가사로 적는다.)"
,,주인공,(생각하며) 나는 사랑이란 서로를 이해하고 배려하는 것이라고 생각해. 그 감정을 담아서 써보면 어떨까?
,,김유진,"(고개를 끄덕이며) 그래, 그 감정을 담아서 이렇게 써볼게. "
,,김유진,(노트북에 가사를 적으며) 서로를 이해하고 배려하는 마음이 사랑의 시작이라는 걸...
,,주인공,"(미소 지으며) 유진 씨, 정말 멋진 가사가 될 것 같아. 함께 작업하니 더 즐거워."
,,김유진,(감사한 마음으로) 나도 주인공 씨와 함께 작업해서 정말 기뻐. 좋은 가사를 쓸 수 있을 것 같아.
,,주인공,(따뜻하게) 유진 씨는 정말 잘할 수 있어. 앞으로도 계속 응원할게. 화이팅!
,,김유진,"(조용히) 고마워, 주인공 씨. 나도 네 덕분에 힘이 나. 우리 함께 좋은 곡 만들어보자."
[2:0703:003],,,
,e202,주인공,"(밝게) 안녕, 유진 씨! 여기서 그림 그리는 중이구나?"
,,김유진,"(조용히) 어, 안녕. 오늘은 밖에서 그림을 좀 그려보려고 했어. 주인공 씨도 같이 할래?"
,,주인공,(호기심 가득) 좋아! 나도 그림 그리는 거 좋아해. 어떤 주제로 그리고 있어?
,,김유진,(생각하며) 요즘 마음에 드는 풍경을 그리고 있어. 운동장의 분위기를 담아보려고 노력 중이야.
,,주인공,(긍정적으로) 멋지다! 유진 씨가 그리는 풍경은 항상 감동적이야. 어려운 점은 없었어?
